"","V1"
"07751-2020-CR.txt",8
"07752-2020-CR.txt",16
"07753-2020-CR.txt",1
"07754-2020-CR.txt",13
"07755-2020-CR.txt",14
"07756-2020-CR.txt",8
"07757-2020-CR.txt",13
"07758-2020-CR.txt",19
"07759-2020-CR.txt",8
"07760-2020-CR.txt",13
"07761-2020-CR.txt",8
"07762-2020-CR.txt",8
"07763-2020-CR.txt",2
"07764-2020-CR.txt",8
"07765-2020-CR.txt",4
"07766-2020-CR.txt",6
"07767-2020-CR.txt",1
"07768-2020-CR.txt",8
"07769-2020-CR.txt",12
"07770-2020-CR.txt",11
"07771-2020-CR.txt",10
"07772-2020-CR.txt",13
"07773-2020-CR.txt",4
"07774-2020-CR.txt",19
"07775-2020-CR.txt",13
"07776-2020-CR.txt",6
"07777-2020-CR.txt",8
"07778-2020-CR.txt",8
"07779-2020-CR.txt",20
"07780-2020-CR.txt",17
"07781-2020-CR.txt",17
"07782-2020-CR.txt",19
"07783-2020-CR.txt",19
"07784-2020-CR.txt",3
"07785-2020-CR.txt",13
"07786-2020-CR.txt",13
"07787-2020-PE.txt",20
"07788-2020-CR.txt",8
"07789-2020-CR.txt",2
"07790-2020-CR.txt",8
"07791-2020-CR.txt",1
"07792-2020-CR.txt",7
"07793-2020-CR.txt",17
"07794-2020-CR.txt",13
"07795-2020-CR.txt",13
"07796-2020-CR.txt",16
"07797-2020-CR.txt",5
"07798-2020-CR.txt",15
"07799-2020-CR.txt",9
"07800-2020-CR.txt",12
"07801-2020-CR.txt",15
"07802-2020-CR.txt",4
"07803-2020-CR.txt",12
"07804-2020-CR.txt",18
"07805-2020-CR.txt",5
"07806-2020-CR.txt",18
"07807-2020-CR.txt",13
"07808-2020-CR.txt",4
"07809-2020-CR.txt",16
"07810-2020-CR.txt",16
"07811-2020-CR.txt",5
"07812-2020-CR.txt",3
"07813-2020-CR.txt",13
"07814-2020-CR.txt",5
"07815-2020-CR.txt",8
"07816-2020-CR.txt",13
"07817-2020-CR.txt",2
"07818-2020-CR.txt",18
"07819-2020-CR.txt",16
"07820-2020-CR.txt",6
"07821-2020-CR.txt",5
"07822-2020-CR.txt",1
"07823-2020-JNJ.txt",3
"07824-2020-CR.txt",20
"07825-2020-CR.txt",18
"07826-2020-CR.txt",20
"07827-2020-CR.txt",7
"07828-2020-CR.txt",19
"07829-2020-CR.txt",3
"07830-2020-CR.txt",20
"07831-2020-GR.txt",19
"07832-2020-CR.txt",13
"07833-2020-CR.txt",5
"07834-2020-CR.txt",20
"07835-2020-CR.txt",16
"07836-2020-CR.txt",8
"07837-2020-PE.txt",18
"07838-2020-CR.txt",16
"07839-2020-CR.txt",4
"07840-2020-CR.txt",10
"07841-2020-CR.txt",13
"07842-2020-CR.txt",14
"07843-2020-CR.txt",8
"07844-2020-CR.txt",1
"07845-2020-CR.txt",7
"07846-2020-CR.txt",11
"07847-2020-CR.txt",7
"07848-2020-CR.txt",19
"07849-2020-CR.txt",14
"07850-2020-CR.txt",11
"07851-2020-CR.txt",7
"07852-2020-CR.txt",12
"07853-2020-CR.txt",11
"07854-2020-CR.txt",1
"07855-2020-CR.txt",13
"07856-2020-CR.txt",6
"07857-2020-CR.txt",17
"07858-2020-CR.txt",16
"07859-2020-CR.txt",19
"07860-2020-CR.txt",14
"07861-2020-CR.txt",18
"07862-2020-CR.txt",1
"07863-2020-CR.txt",17
"07864-2020-CR.txt",4
"07865-2020-CR.txt",9
"07866-2020-CR.txt",8
"07867-2020-CR.txt",11
"07868-2020-CR.txt",13
"07869-2020-CR.txt",20
"07870-2020-PE.txt",2
"07871-2020-CR.txt",13
"07872-2020-CR.txt",14
"07873-2020-CR.txt",13
"07874-2020-CR.txt",9
"07875-2020-CR.txt",8
"07876-2020-CR.txt",15
"07877-2020-CR.txt",8
"07878-2020-CR.txt",13
"07879-2020-CR.txt",3
"07880-2020-CR.txt",4
"07881-2020-CR.txt",17
"07882-2020-CR.txt",1
"07883-2020-CR.txt",1
"07884-2020-CR.txt",13
"07885-2020-CR.txt",13
"07886-2020-CR.txt",3
"07887-2020-CR.txt",17
"07888-2020-CR.txt",17
"07889-2020-CR.txt",3
"07890-2020-PE.txt",17
"07891-2020-CR.txt",8
"07892-2020-PE.txt",6
"07893-2020-CR.txt",8
"07894-2020-CR.txt",6
"07895-2020-CR.txt",8
"07896-2020-CP.txt",17
"07897-2020-CR.txt",6
"07898-2020-CR.txt",11
"07899-2020-CR.txt",8
"07900-2020-CR.txt",3
"07901-2020-CR.txt",6
"07902-2020-CR.txt",3
"07903-2020-CR.txt",4
"07904-2020-CR.txt",6
"07905-2020-CR.txt",1
"07906-2020-CR.txt",7
"07907-2020-CR.txt",2
"07908-2020-JNE.txt",16
"07909-2020-CR.txt",3
"07910-2020-CR.txt",4
"07911-2020-CR.txt",7
"07912-2020-CR.txt",14
"07913-2020-CR.txt",5
"07914-2020-PE.txt",5
"07915-2020-CR.txt",19
"07916-2020-CR.txt",8
"07917-2020-CR.txt",3
"07918-2020-CR.txt",9
"07919-2020-CR.txt",5
"07920-2020-CR.txt",11
"07921-2020-CR.txt",7
"07922-2020-CR.txt",3
"07923-2020-CR.txt",8
"07924-2020-CR.txt",14
"07925-2020-CR.txt",8
"07926-2020-PE.txt",6
"07927-2020-CR.txt",2
"07928-2020-CR.txt",16
"07929-2020-CR.txt",13
"07930-2020-CR.txt",3
"07931-2020-CR.txt",16
"07932-2020-CR.txt",13
"07933-2020-MP.txt",14
"07934-2020-CR.txt",8
"07935-2020-CR.txt",10
"07936-2020-CR.txt",9
"07937-2020-CR.txt",9
"07938-2020-CR.txt",6
"07939-2020-PE.txt",6
"07940-2020-CR.txt",11
"07941-2020-CR.txt",6
"07942-2020-CR.txt",8
"07943-2020-CR.txt",16
"07944-2020-CR.txt",3
"07945-2020-CR.txt",13
"07946-2020-CR.txt",15
"07947-2020-CR.txt",8
"07948-2020-CR.txt",15
"07949-2020-CR.txt",20
"07950-2020-CR.txt",14
"07951-2020-CR.txt",19
"07952-2020-PE.txt",6
"07953-2020-CR.txt",11
"07954-2020-CR.txt",17
"07955-2020-CR.txt",17
"07956-2020-CR.txt",13
"07957-2020-CR.txt",3
"07958-2020-CR.txt",3
"07959-2020-CR.txt",5
"07960-2020-CR.txt",1
"07961-2020-CR.txt",10
"07962-2020-CR.txt",8
"07963-2020-CR.txt",19
"07964-2020-CR.txt",13
"07965-2020-CR.txt",20
"07966-2020-CR.txt",6
"07967-2020-CR.txt",11
"07968-2020-CR.txt",8
"07969-2020-CR.txt",1
"07970-2020-CR.txt",13
"07971-2020-CR.txt",20
"07972-2020-CR.txt",8
"07973-2020-CR.txt",3
"07974-2020-CR.txt",8
"07975-2020-CR.txt",8
"07976-2020-CR.txt",13
"07977-2020-CR.txt",3
"07978-2020-CR.txt",19
"07979-2020-CR.txt",2
"07980-2020-CR.txt",2
"07981-2020-CR.txt",14
"07982-2020-CR.txt",8
"07983-2020-CR.txt",9
"07984-2020-CR.txt",13
"07985-2020-CR.txt",8
"07986-2020-CR.txt",8
"07987-2020-CR.txt",13
"07988-2020-CR.txt",1
"07989-2020-CR.txt",10
"07990-2020-CR.txt",1
"07991-2020-CR.txt",19
"07992-2020-CR.txt",17
"07993-2020-CR.txt",16
"07994-2020-CR.txt",8
"07995-2020-CR.txt",1
"07996-2020-CR.txt",18
"07997-2020-CR.txt",6
"07998-2020-CR.txt",1
"07999-2020-CR.txt",18
"08000-2020-CR.txt",9
"08001-2020-CR.txt",10
"08002-2020-CR.txt",7
"08003-2020-CR.txt",9
"08004-2020-CR.txt",16
"08005-2020-CR.txt",14
"08006-2020-CR.txt",3
"08007-2020-CR.txt",8
"08008-2020-CR.txt",15
"08009-2020-CR.txt",6
"08010-2020-CR.txt",7
"08011-2020-CR.txt",10
"08012-2020-CR.txt",2
"08013-2020-CR.txt",7
"08014-2020-CR.txt",20
"08015-2020-CR.txt",19
"08016-2020-PE.txt",14
"08017-2020-PE.txt",17
"08018-2020-PE.txt",17
"08019-2020-PE.txt",17
"08020-2020-CR.txt",13
"08021-2020-CR.txt",4
"08022-2020-CR.txt",15
"08023-2020-CR.txt",19
"08024-2020-CR.txt",16
"08025-2020-CR.txt",13
"08026-2020-CR.txt",8
"08027-2020-CR.txt",5
"08028-2020-CR.txt",8
"08029-2020-CR.txt",4
"08030-2020-CR.txt",16
"08031-2020-CR.txt",1
"08032-2020-CR.txt",5
"08033-2020-CR.txt",8
"08034-2020-CR.txt",8
"08035-2020-CR.txt",10
"08036-2020-CR.txt",10
"08037-2020-CR.txt",15
"08038-2020-CR.txt",16
"08039-2020-CR.txt",10
"08040-2020-CR.txt",9
"08041-2020-CR.txt",8
"08042-2020-CR.txt",18
"08043-2020-CR.txt",8
"08044-2020-CR.txt",8
"08045-2020-CR.txt",2
"08046-2020-CR.txt",3
"08047-2020-CR.txt",8
"08048-2020-CR.txt",11
"08049-2020-CR.txt",16
"08050-2020-CR.txt",6
"08051-2020-CR.txt",13
"08052-2020-CR.txt",13
"08053-2020-CR.txt",11
"08054-2020-CR.txt",5
"08055-2020-CR.txt",14
"08056-2020-CR.txt",1
"08057-2020-CGR.txt",15
"08058-2020-CR.txt",4
"08059-2020-CR.txt",6
"08060-2020-CR.txt",20
"08061-2020-CR.txt",10
"08062-2020-CR.txt",20
"08063-2020-CR.txt",11
"08064-2020-CR.txt",3
"08066-2020-CR.txt",8
"08067-2020-CR.txt",5
"08068-2020-CR.txt",9
"08069-2020-CR.txt",8
"08070-2020-CR.txt",8
"08071-2020-CR.txt",18
"08072-2020-CR.txt",12
"08073-2020-CR.txt",16
"08074-2020-CR.txt",10
"08075-2020-CR.txt",18
"08076-2020-CR.txt",6
"08077-2020-CR.txt",3
"08078-2020-CR.txt",7
"08079-2020-CR.txt",6
"08080-2020-CR.txt",17
"08081-2020-CR.txt",2
"08082-2020-CR.txt",9
"08083-2020-CR.txt",8
"08084-2020-CR.txt",19
"08085-2020-CR.txt",1
"08086-2020-CR.txt",13
"08087-2020-CR.txt",14
"08088-2020-CR.txt",7
"08089-2020-CR.txt",8
"08090-2020-CR.txt",8
"08091-2020-CR.txt",13
"08092-2020-CR.txt",8
"08093-2020-CR.txt",16
"08094-2020-CR.txt",10
"08095-2020-CR.txt",7
"08096-2020-CR.txt",13
"08097-2020-CR.txt",2
"08098-2020-CR.txt",8
"08099-2020-CR.txt",8
"08100-2020-CR.txt",8
"08101-2020-CR.txt",4
"08102-2020-CR.txt",13
"08103-2020-CR.txt",8
"08104-2020-CR.txt",9
